Year,SERIES,REF_AREA,SEX,URBANISATION,Value
2018,SP_LGL_LNDSEC,13,M,U,95.0
2018,SP_LGL_LNDSEC,13,F,U,90.8
2018,SP_LGL_LNDSEC,13,,R,98.2
2018,SP_LGL_LNDSEC,13,M,R,98.6
2018,SP_LGL_LNDSEC,13,F,R,96.6
2018,SP_LGL_LNDSEC,14,,,89.8
2018,SP_LGL_LNDSEC,14,M,,91.8
2018,SP_LGL_LNDSEC,14,F,,76.1
2018,SP_LGL_LNDSEC,14,,U,80.4
2018,SP_LGL_LNDSEC,14,M,U,81.1
2018,SP_LGL_LNDSEC,14,F,U,75.1
2018,SP_LGL_LNDSEC,14,,R,92.1
2018,SP_LGL_LNDSEC,14,M,R,94.5
2018,SP_LGL_LNDSEC,14,F,R,76.3
2018,SP_LGL_LNDSEC,15,,,91.5
2018,SP_LGL_LNDSEC,15,M,,93.8
2018,SP_LGL_LNDSEC,15,F,,86.4
2018,SP_LGL_LNDSEC,15,,U,83.9
2018,SP_LGL_LNDSEC,15,M,U,84.3
2018,SP_LGL_LNDSEC,15,F,U,82.8
2018,SP_LGL_LNDSEC,15,,R,92.6
2018,SP_LGL_LNDSEC,15,M,R,95.4
2018,SP_LGL_LNDSEC,15,F,R,86.7
2018,SP_LGL_LNDSEC,16,,,93.0
2018,SP_LGL_LNDSEC,16,M,,93.4
2018,SP_LGL_LNDSEC,16,F,,91.1
2018,SP_LGL_LNDSEC,16,,U,77.3
2018,SP_LGL_LNDSEC,16,M,U,77.8
2018,SP_LGL_LNDSEC,16,F,U,75.0
2018,SP_LGL_LNDSEC,16,,R,94.7
2018,SP_LGL_LNDSEC,16,M,R,95.1
2018,SP_LGL_LNDSEC,16,F,R,92.9
